group_id,group_URLName,event_id,event_name,time,event_url
1235637,funthingstodoinnyctoday,267119639,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/funthingstodoinnyctoday/events/267119639/
1235637,funthingstodoinnyctoday,266918806,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/funthingstodoinnyctoday/events/266918806/
1235637,funthingstodoinnyctoday,267248410,New Years Eve NYC Singles Party I Ring In 2020 With 300+ NY Singles 21-45,1577840400000,https://www.meetup.com/funthingstodoinnyctoday/events/267248410/
1235637,funthingstodoinnyctoday,267142686,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/funthingstodoinnyctoday/events/267142686/
1250837,30s-40s-professional,267273949,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/4050plus-professional/events/267273949/
1250837,30s-40s-professional,267063336,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/4050plus-professional/events/267063336/
1250837,30s-40s-professional,266999185,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/4050plus-professional/events/266999185/
1256898,nyconn,266196476,BRUCE'S 11th ANNUAL NEW YEARS EVE PARTY,1577840400000,https://www.meetup.com/nyconn/events/266196476/
1265637,friends-925,wcntqyzqbkb,Meetup at  the Dublin House,1577838600000,https://www.meetup.com/friends-925/events/266832637/
1267257,travel-1317,267116709,NYE Stand UP Comedy Show,1577847600000,https://www.meetup.com/travel-1317/events/267116709/
1277871,vegan-512,267541004,New Year’s Eve veggie heaven bash’n board games,1577840400000,https://www.meetup.com/vegan-512/events/267541004/
1278406,nyc-tango-lover,wjmgsqyzqbnc,Beginner Argentine Tango Class & Socializing afterwards,1577752200000,https://www.meetup.com/nyc-tango-lover/events/267404885/
1286261,new-york-brainiacs,267091129,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/new-york-brainiacs/events/267091129/
1286261,new-york-brainiacs,267278581,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/new-york-brainiacs/events/267278581/
1286261,new-york-brainiacs,267069305,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/new-york-brainiacs/events/267069305/
1286261,new-york-brainiacs,267004668,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/new-york-brainiacs/events/267004668/
1302819,ZorkasArtMarketers,267437998,NYC New Year's Eve Event,1577844000000,https://www.meetup.com/ZorkasArtMarketers/events/267437998/
1325945,Old-New-York-Bars,267379144,New Year's Eve Party at Tir na nÓg Times Square with the Basket House Band,1577844000000,https://www.meetup.com/Old-New-York-Bars/events/267379144/
1327916,Sharon-Fit-Belly-Dance-Group-Fitness-Classes,qmpctmyzqbnc,"Slow, Slinky, & Sharp:Tribal Fusion with Kim $20 drop in",1577752200000,https://www.meetup.com/Sharon-Fit-Belly-Dance-Group-Fitness-Classes/events/267404482/
1329699,Dharma-Ocean-of-New-York,267214754,New Years Eve! Somatic Meditation: The Gateway to Compassion and Wisdom,1577847600000,https://www.meetup.com/SomaticWisdomMeditation/events/267214754/
1331477,The-Northern-NJ-Hiking-Adventure-Outings-Group,267248420,New Years Eve NYC Singles Party I Ring In 2020 With 300+ NY Singles 21-45,1577840400000,https://www.meetup.com/outdooradventurer/events/267248420/
1338658,hvhikers,267491060, Mt. Beacon Fire Tower Sunrise Hike,1577790600000,https://www.meetup.com/hvhikers/events/267491060/
1338658,hvhikers,266469463,HVH Winter Backpacking Series: Lonesome Lake Hut [NH] (NYE 2020),1577829600000,https://www.meetup.com/hvhikers/events/266469463/
1339645,NYC-For-Cheap,267091169,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/NYC-For-Cheap/events/267091169/
1339645,NYC-For-Cheap,267278264,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/NYC-For-Cheap/events/267278264/
1339645,NYC-For-Cheap,267004670,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/NYC-For-Cheap/events/267004670/
1339645,NYC-For-Cheap,267069229,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/NYC-For-Cheap/events/267069229/
1339645,NYC-For-Cheap,267116726,NYE Stand UP Comedy Show,1577847600000,https://www.meetup.com/NYC-For-Cheap/events/267116726/
1351538,The-New-York-Cribbage-Meetup-Group,fnzlfryzqbpc,Play Cribbage ,1577829600000,https://www.meetup.com/The-New-York-Cribbage-Meetup-Group/events/267152626/
